#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  0.000000e+00
#! SET NORMALIZATION  2.814768e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.756115e-01 -4.184561e-01 5.099812e-03
ROW1_psi1 -4.184561e-01 1.293351e+00 -4.330330e-02
ROW2_theta1 5.099812e-03 -4.330330e-02 3.417391e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.000000e-02
#! SET NORMALIZATION  2.814728e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.545831e-01 -4.185101e-01 6.605835e-03
ROW1_psi1 -4.194396e-01 1.188489e+00 -4.290130e-02
ROW2_theta1 6.408445e-03 -4.258409e-02 3.184071e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  8.000000e-02
#! SET NORMALIZATION  2.814688e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.431365e-01 -4.171901e-01 7.569020e-03
ROW1_psi1 -4.177842e-01 1.113146e+00 -4.220963e-02
ROW2_theta1 7.413573e-03 -4.174737e-02 3.008813e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.200000e-01
#! SET NORMALIZATION  2.814648e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.330489e-01 -4.157760e-01 8.285727e-03
ROW1_psi1 -4.166145e-01 1.048172e+00 -4.139125e-02
ROW2_theta1 8.222163e-03 -4.087488e-02 2.852222e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.600000e-01
#! SET NORMALIZATION  2.814608e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.237612e-01 -4.143504e-01 8.853668e-03
ROW1_psi1 -4.159144e-01 9.916282e-01 -4.042931e-02
ROW2_theta1 8.885264e-03 -3.982419e-02 2.710349e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.000000e-01
#! SET NORMALIZATION  2.814568e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.150397e-01 -4.125700e-01 9.300518e-03
ROW1_psi1 -4.144213e-01 9.422757e-01 -3.940295e-02
ROW2_theta1 9.324214e-03 -3.850800e-02 2.580862e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.400000e-01
#! SET NORMALIZATION  2.814528e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 4.065245e-01 -4.109244e-01 9.713071e-03
ROW1_psi1 -4.123013e-01 8.947277e-01 -3.842010e-02
ROW2_theta1 9.667138e-03 -3.732315e-02 2.456604e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.800000e-01
#! SET NORMALIZATION  2.814488e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.984240e-01 -4.083641e-01 1.006037e-02
ROW1_psi1 -4.099549e-01 8.507327e-01 -3.744847e-02
ROW2_theta1 9.991179e-03 -3.625746e-02 2.338183e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.200000e-01
#! SET NORMALIZATION  2.814448e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.906505e-01 -4.055432e-01 1.034384e-02
ROW1_psi1 -4.073073e-01 8.116737e-01 -3.633280e-02
ROW2_theta1 1.024507e-02 -3.535542e-02 2.226301e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.600000e-01
#! SET NORMALIZATION  2.814408e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.833219e-01 -4.022452e-01 1.057587e-02
ROW1_psi1 -4.046210e-01 7.756500e-01 -3.531204e-02
ROW2_theta1 1.043814e-02 -3.459631e-02 2.119796e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.000000e-01
#! SET NORMALIZATION  2.814368e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.761117e-01 -3.986037e-01 1.075132e-02
ROW1_psi1 -4.012720e-01 7.426192e-01 -3.439751e-02
ROW2_theta1 1.058251e-02 -3.384406e-02 2.019237e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.400000e-01
#! SET NORMALIZATION  2.814328e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.694333e-01 -3.951941e-01 1.091064e-02
ROW1_psi1 -3.978424e-01 7.140752e-01 -3.349096e-02
ROW2_theta1 1.064941e-02 -3.298588e-02 1.929132e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.800000e-01
#! SET NORMALIZATION  2.814288e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
