#! FIELDS LAG_TIME EIGVEC0_phi1 EIGVEC1_psi1 EIGVEC2_theta1
#! SET COMPONENT  2
 0.000000e+00 -6.859801e-01 -7.256763e-01 5.315336e-02
 4.000000e-02 -6.223281e-01 -5.068382e-01 -5.965089e-01
 8.000000e-02 -6.049400e-01 -5.158803e-01 -6.065601e-01
 1.200000e-01 -6.005858e-01 -5.200893e-01 -6.072921e-01
 1.600000e-01 -6.062367e-01 -5.264424e-01 -5.961002e-01
 2.000000e-01 -6.146494e-01 -5.334285e-01 -5.810854e-01
 2.400000e-01 -6.182699e-01 -5.367970e-01 -5.741004e-01
 2.800000e-01 -6.194489e-01 -5.387317e-01 -5.710089e-01
 3.200000e-01 -6.210142e-01 -5.402215e-01 -5.678926e-01
 3.600000e-01 -6.192174e-01 -5.393694e-01 -5.706579e-01
 4.000000e-01 -6.164649e-01 -5.376883e-01 -5.752063e-01
 4.400000e-01 -6.170033e-01 -5.380491e-01 -5.742909e-01
 4.800000e-01 -6.201450e-01 -5.401610e-01 -5.688992e-01
 5.200000e-01 -6.240364e-01 -5.426740e-01 -5.622131e-01
 5.600000e-01 -6.287218e-01 -5.456693e-01 -5.540342e-01
 6.000000e-01 -6.320988e-01 -5.476481e-01 -5.482086e-01
 6.400000e-01 -6.355559e-01 -5.490949e-01 -5.427370e-01
 6.800000e-01 -6.372173e-01 -5.492274e-01 -5.406509e-01
 7.200000e-01 -6.403693e-01 -5.504381e-01 -5.356725e-01
 7.600000e-01 -6.445364e-01 -5.527197e-01 -5.282744e-01
 8.000000e-01 -6.491215e-01 -5.549505e-01 -5.202607e-01
 8.400000e-01 -6.503605e-01 -5.549756e-01 -5.186842e-01
 8.800000e-01 -6.498074e-01 -5.541274e-01 -5.202818e-01
 9.200000e-01 -6.475104e-01 -5.521012e-01 -5.252757e-01
 9.600000e-01 -6.452421e-01 -5.499404e-01 -5.303096e-01
 1.000000e+00 -6.434381e-01 -5.477178e-01 -5.347828e-01
 1.040000e+00 -6.443767e-01 -5.472827e-01 -5.340977e-01
 1.080000e+00 -6.473433e-01 -5.485061e-01 -5.292331e-01
 1.120000e+00 -6.430297e-01 -5.446345e-01 -5.384107e-01
 1.160000e+00 -6.373780e-01 -5.396163e-01 -5.500578e-01
 1.200000e+00 -6.299172e-01 -5.331752e-01 -5.647376e-01
 1.240000e+00 -6.248613e-01 -5.289334e-01 -5.742628e-01
 1.280000e+00 -6.192482e-01 -5.246914e-01 -5.841495e-01
 1.320000e+00 -6.150853e-01 -5.217565e-01 -5.911347e-01
 1.360000e+00 -6.118716e-01 -5.193920e-01 -5.965276e-01
 1.400000e+00 -6.142814e-01 -5.209265e-01 -5.927006e-01
 1.440000e+00 -6.115417e-01 -5.186950e-01 -5.974716e-01
 1.480000e+00 -6.096908e-01 -5.175247e-01 -6.003710e-01
 1.520000e+00 -6.154757e-01 -5.221636e-01 -5.903683e-01
 1.560000e+00 -6.198915e-01 -5.256280e-01 -5.826231e-01
 1.600000e+00 -6.126943e-01 -5.202343e-01 -5.949470e-01
 1.640000e+00 -6.135262e-01 -5.210412e-01 -5.933816e-01
 1.680000e+00 -6.266026e-01 -5.305816e-01 -5.708347e-01
 1.720000e+00 -6.424827e-01 -5.421698e-01 -5.415421e-01
 1.760000e+00 -6.534582e-01 -5.503873e-01 -5.196790e-01
 1.800000e+00 -6.724517e-01 -5.645951e-01 -4.785824e-01
 1.840000e+00 -6.725476e-01 -5.653693e-01 -4.775325e-01
 1.880000e+00 -6.708662e-01 -5.642521e-01 -4.812048e-01
 1.920000e+00 -6.709780e-01 -5.648226e-01 -4.803790e-01
 1.960000e+00 -6.860587e-01 -5.765936e-01 -4.436928e-01
 2.000000e+00 -6.890585e-01 -5.792973e-01 -4.354457e-01
 2.040000e+00 -6.732114e-01 -5.681543e-01 -4.732727e-01
 2.080000e+00 -6.387908e-01 -5.428733e-01 -5.451925e-01
 2.120000e+00 -5.781751e-01 -4.973610e-01 -6.467963e-01
 2.160000e+00 -5.233475e-01 -4.553303e-01 -7.202650e-01
 2.200000e+00 -4.867889e-01 -4.267069e-01 -7.622059e-01
 2.240000e+00 -4.346939e-01 -3.861215e-01 -8.136039e-01
 2.280000e+00 -3.699062e-01 -3.354822e-01 -8.663840e-01
 2.320000e+00 -3.021804e-01 -2.822522e-01 -9.105057e-01
 2.360000e+00 -2.502747e-01 -2.413165e-01 -9.376188e-01
 2.400000e+00 -2.076508e-01 -2.073028e-01 -9.559847e-01
 2.440000e+00 -1.797790e-01 -1.847623e-01 -9.662000e-01
 2.480000e+00 -1.622546e-01 -1.704780e-01 -9.719108e-01
 2.520000e+00 -1.419498e-01 -1.539279e-01 -9.778325e-01
 2.560000e+00 -1.258379e-01 -1.410465e-01 -9.819729e-01
 2.600000e+00 -1.118581e-01 -1.298323e-01 -9.852062e-01
 2.640000e+00 -9.609047e-02 -1.173863e-01 -9.884266e-01
 2.680000e+00 -8.931823e-02 -1.121048e-01 -9.896741e-01
 2.720000e+00 -8.192973e-02 -1.062654e-01 -9.909567e-01
 2.760000e+00 -7.795896e-02 -1.032224e-01 -9.915985e-01
 2.800000e+00 -7.476517e-02 -1.007038e-01 -9.921033e-01
 2.840000e+00 -7.030369e-02 -9.710799e-02 -9.927877e-01
 2.880000e+00 -6.862055e-02 -9.582451e-02 -9.930302e-01
 2.920000e+00 -6.135782e-02 -9.000210e-02 -9.940497e-01
 2.960000e+00 -5.458210e-02 -8.434741e-02 -9.949404e-01
 3.000000e+00 -4.800858e-02 -7.893570e-02 -9.957230e-01
 3.040000e+00 -4.385476e-02 -7.535203e-02 -9.961922e-01
 3.080000e+00 -4.102845e-02 -7.289549e-02 -9.964953e-01
 3.120000e+00 -4.210347e-02 -7.377990e-02 -9.963854e-01
 3.160000e+00 -4.008649e-02 -7.223556e-02 -9.965817e-01
 3.200000e+00 -3.939064e-02 -7.191656e-02 -9.966325e-01
 3.240000e+00 -4.181417e-02 -7.381943e-02 -9.963946e-01
 3.280000e+00 -4.064326e-02 -7.318059e-02 -9.964902e-01
 3.320000e+00 -3.601881e-02 -6.960480e-02 -9.969242e-01
 3.360000e+00 -2.744112e-02 -6.255966e-02 -9.976639e-01
 3.400000e+00 -8.895572e-03 -4.740632e-02 -9.988361e-01
 3.440000e+00 -5.865205e-03 -4.491098e-02 -9.989738e-01
 3.480000e+00 3.145708e-03 -3.757071e-02 -9.992890e-01
 3.520000e+00 1.039683e-02 -3.171773e-02 -9.994428e-01
 3.560000e+00 1.479078e-02 -2.815806e-02 -9.994941e-01
 3.600000e+00 2.064380e-02 -2.317724e-02 -9.995182e-01
 3.640000e+00 2.674083e-02 -1.809107e-02 -9.994787e-01
 3.680000e+00 2.933335e-02 -1.630812e-02 -9.994366e-01
 3.720000e+00 3.109468e-02 -1.527061e-02 -9.993998e-01
 3.760000e+00 3.909403e-02 -9.045809e-03 -9.991946e-01
 3.800000e+00 4.091983e-02 -7.495306e-03 -9.991343e-01
 3.840000e+00 3.707326e-02 -1.068807e-02 -9.992554e-01
 3.880000e+00 3.415119e-02 -1.312320e-02 -9.993305e-01
 3.920000e+00 3.470327e-02 -1.259403e-02 -9.993183e-01
 3.960000e+00 3.035932e-02 -1.578472e-02 -9.994144e-01
 4.000000e+00 2.564616e-02 -1.950803e-02 -9.994807e-01
